"Use Dev Environment","Χρησιμοποιήστε το Dev περιβάλλον"
"Username","Όνομα χρήστη"
"Api Key","Κλειδί Api"
"Select products types","Επιλέξτε τύπους προϊόντων"
"Xml Configs","Διαμορφώνει το Xml"
"Generate Xml","Δημιουργία Xml"
"NPM Attribute","Χαρακτηριστικό NPM"
"EAN Attribute","Χαρακτηριστικό EAN"
"Title Attribute","Χαρακτηριστικό τίτλου"
"Description Attribute","Περιγραφή Χαρακτηριστικό"
"Export Category Tree","Δέντρο κατηγορίας εξαγωγής"
"Brand Attribute","Χαρακτηριστικό μάρκας"
"Weight Attribute","Ιδιότητα βάρους"
"SHOPFLIX Shipping Method","Μέθοδος αποστολής στην αγορά"
"Title","Τίτλος"
"Method Name","Όνομα μεθόδου"
"Displayed Error Message","Εμφανίζεται μήνυμα σφάλματος"
"Ship to Applicable Countries","Αποστολή σε εφαρμοστέες χώρες"
"Ship to Specific Countries","Αποστολή σε συγκεκριμένες χώρες"
"Sort Order","Σειρά ταξινόμησης"
"Onecode SHOPFLIX Payment","Πληρωμή Onecode Shopflix"
"Instructions","Οδηγίες"
"New Order Status","Κατάσταση νέας παραγγελίας"
"Payment from Applicable Countries","Πληρωμή από εφαρμοστέες χώρες"
"Payment from Specific Countries","Πληρωμή από συγκεκριμένες χώρες"
"ID","ID"
"Purchase Date","Ημερομηνία αγοράς"
"Bill-to Name","Bill-to όνομα"
"Ship-to Name","Ship-to όνομα"
"Customer Email","Email Πελάτη"
Shipments,Αποστολές
SHOPFLIX Order Shipments,Αποστολές για της παραγγελίες ShopFlix
"Shipment #%1 | %3","Αποστολή #%1 | %3"
Print,Εκτύπωση
Print Shipping Label,Εκτύπωση Αποστολής
"We can print 20 vouchers at once you have selected %1","Μπορούμε να εκτυπώσουμε μόνο 20 vouchers στο ίδιο request. Έχετε επιλέξει %1"
Same day,Ίδια ημέρα
Next day,Επόμενη μέρα
2 days,2 ημέρες
3 days,3 ημέρες
4 days,4 ημέρες
5 days,5 ημέρες
6 days,6 ημέρες
7+ days,7+ ημέρες
Please enter the username and password and set to yes to get the link for xml,Εισαγάγετε το όνομα χρήστη και τον κωδικό πρόσβασης και ορίστε ναι για να λάβετε τον σύνδεσμο για το xml
"<a href='%1' target='_blank'>Xml file for Store View <strong>%2</strong></a>","<a href='%1' target='_blank'>Αρχείο Xml για την προβολή καταστήματος <strong>%2</strong></a>"
Order Partial Shipped,Μερική αποστολή
We cannot partial shipped this order.,Δεν είναι δυνατή η μερική αποστολή αυτής της παραγγελίας.
Order Shipped,Η παραγγελία έχει αποσταλεί
We cannot shipped this order.,Δεν μπορούμε να στείλουμε αυτήν την παραγγελία.
Order On the way,Παραγγελία Καθ' οδόν
We cannot cancel this order.,Δεν μπορούμε να ακυρώσουμε αυτήν την παραγγελία.
Pending Acceptance,Εκκρεμεί Αποδοχή
Rejected,Απορρίφθηκε
On the way,Καθ' οδόν
Partial Shipped,Μερική αποστολή
Shipped,Η παραγγελία έχει αποσταλεί
Completed,Ολοκληρωμένη
Ready to be shipped,Έτοιμη για αποστολή
Canceled,Ακυρώθηκε
Could not delete the shipment item.,Δεν ήταν δυνατή η διαγραφή του αντικειμένου αποστολής.
Could not save the shipment item.,Δεν ήταν δυνατή η αποθήκευση του αντικειμένου αποστολής.
Could not delete the shipment tracking.,Δεν ήταν δυνατή η διαγραφή του αριθμού παρακολούθησης της αποστολής.
Tracking information must contain title, carrier code, and tracking number
An increment id is needed. Set the increment id  and try again.
Could not save the shipment tracking.,Δεν ήταν δυνατή η αποθήκευση της παρακολούθησης αποστολής.
This shipment no longer exists.,Αυτή η αποστολή δεν υπάρχει πλέον.
The order no longer exists.,Η παραγγελία δεν υπάρχει πλέον.
Tracking information must contain title, carrier code, and tracking number,Οι πληροφορίες παρακολούθησης πρέπει να περιέχουν τίτλο, κωδικό εταιρίας courier και αριθμό παρακολούθησης
An increment id is needed. Set the increment id  and try again.,Απαιτείται ένα αναγνωριστικό αύξησης. Ορίστε το αναγνωριστικό αύξησης και δοκιμάστε ξανά.
The shipment couldn't be deleted.,Δεν ήταν δυνατή η διαγραφή της αποστολής.
The shipment couldn't be saved.,Δεν ήταν δυνατή η αποθήκευση της αποστολής.
We cannot create an empty shipment.,Δεν μπορούμε να δημιουργήσουμε κενή αποστολή.
"Cannot save track:\n%1","Δεν είναι δυνατή η αποθήκευση του αριθμού παρακολούθησης:\n%1"
Carrier,Φορέας
Number,Αριθμός
Action,Δράση
SHOPFLIX Courier,SHOPFLIX Courier
Track Voucher,Κουπόνι παρακολούθησης
Shipping and Tracking Information,Πληροφορίες αποστολής και παρακολούθησης
Items Shipped,Είδη που αποστέλλονται
Qty Shipped,Ποσότητα Αποστολή
Download Manifest,Κατεβάστε το Manifest
SHOPFLIX Settings Section,Ενότητα ρυθμίσεων ShopFlix
SHOPFLIX Shipments,Αποστολές ShopFlix
SHOPFLIX Settings,Ρυθμίσεις ShopFlix
Auto Accept Order,Αυτόματη αποδοχή παραγγελίας
Api Url,Api Url
"Allows a valid URL. For example, https://www.example.com/api","Επιτρέπει μια έγκυρη διεύθυνση URL. Για παράδειγμα, https://www.example.com/api"
MPN Attribute,Ιδιότητα MPN
Shipment,Αποστολή
Ship-to Name,Όνομα αποστολής
Ship Date,Ημερομηνία αποστολής
Total Quantity,Συνολική ποσότητα
Print Vouchers,Εκτύπωση κουπονιών
Order #,Παραγγελία #
Ship Date,Ημερομηνία αποστολής
Method Name,Όνομα μεθόδου
Invoice on acceptance,Τιμολόγιο κατά την αποδοχή
This field is used to filter the orders we requested from the SHOPFLIX API,Αυτό το πεδίο χρησιμοποιείται για το φιλτράρισμα των παραγγελιών που ζητήσαμε από το SHOPFLIX API
-6 hours,-6 ώρες
-12 hours,-12 ώρες
-18 hours,-18 ώρες
-1 day,-1 ήμερα
Time modifier,Tροποποιητής χρόνου
"We have successfully synced the orders from SHOPFLIX","Συγχρονίσαμε με επιτυχία τις παραγγελίες από το SHOPFLIX"
"We have successfully synced the shipments from SHOPFLIX","Συγχρονίσαμε με επιτυχία τις αποστολές από το SHOPFLIX"
"Sync","Συγχρονισμός"
"Tracking Voucher Print Format","Μορφή εκτύπωσης κουπονιού παρακολούθησης"
"This field is used to select the format which we want to print tracking voucher","Αυτό το πεδίο χρησιμοποιείται για την επιλογή της μορφής που θέλουμε να εκτυπώσουμε το κουπόνι παρακολούθησης"
"Courier Center Standard","Courier Center Παρατυπωμένο"
"Courier Center Labeled","Courier Center με ετικέτα"
"Courier Center Standard ( 1 tracking voucher per page )","Courier Center Παρατυπωμένο ( 1 κουπόνι παρακολούθησης ανά σελίδα )"
"Courier Center Labeled ( 1 tracking voucher per page )","Courier Center με ετικέτα ( 1 κουπόνι παρακολούθησης ανά σελίδα )"
"SHOPFLIX Labeled 100x150","SHOPFLIX με ετικέτα 100x150"
"SHOPFLIX Labeled 100x170","SHOPFLIX με ετικέτα 100x170"
